"trust_fed_gov","gov_run_by_big_interests","gov_wastes_tax_money","household_income_cat","race_ethnicity_summary","education_attainment","party_id_7pt","ideology_7pt","congress_approval","age","gender","sex","marital_status","natl_econ_retrospective","elections_responsive","social_trust","trust_fed_gov_pos","gov_run_pos","gov_waste_pos","z_trust_fed_gov","z_gov_run","z_gov_waste","trust_index_z"
3,2,3,1,6,0,3,1,4,-1,1,1,-3,4,3,4,3,2,3,0.587342124528122,2.21072948681807,3.09356567625756,1.96387909586792
4,1,1,-9,1,0,5,99,4,-1,2,2,-3,5,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,16,1,0,1,3,4,-1,2,2,-3,3,2,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,2,2,27,1,4,3,4,4,-1,1,1,-3,4,2,2,3,2,2,0.587342124528122,2.21072948681807,1.21758519868391,1.33855227001003
4,1,1,1,1,0,5,3,3,-1,1,1,-3,4,3,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,22,1,0,5,7,4,-1,1,1,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
5,1,1,26,1,0,2,4,3,-1,2,2,-3,3,3,4,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,2,27,1,4,1,1,4,-1,1,1,-3,3,2,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,14,1,0,1,2,4,-1,2,2,-3,3,2,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,28,1,4,3,3,4,-1,1,1,-3,3,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,17,1,1,2,5,2,-1,1,1,-3,2,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,2,23,1,0,1,1,4,-1,2,2,-3,1,1,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,1,2,27,1,0,1,1,3,-1,2,2,-3,2,1,2,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,19,2,0,2,4,3,-1,2,2,-3,5,3,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,20,1,4,2,4,4,-1,2,2,-3,3,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
3,1,1,15,1,0,1,2,4,-1,2,2,-3,3,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
4,1,1,1,1,0,7,99,4,-1,1,1,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,2,24,2,0,4,99,4,-1,1,1,-3,3,2,4,1,1,2,-1.51363835735582,-0.452252672667008,1.21758519868391,-0.249435277112973
4,1,1,26,1,4,1,2,2,-1,1,1,-3,3,1,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,2,1,13,1,1,5,5,4,-1,1,1,-3,5,1,4,2,2,1,-0.463148116413848,2.21072948681807,-0.658395278889745,0.363062030504826
2,2,2,28,3,3,1,99,2,-1,2,2,-3,3,2,3,4,2,2,1.63783236547009,2.21072948681807,1.21758519868391,1.68871568365736
4,1,1,24,1,0,3,4,4,-1,1,1,-3,3,3,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,1,1,18,1,0,7,7,4,-1,2,2,-3,4,2,2,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
3,1,2,17,1,0,2,4,2,-1,2,2,-3,4,2,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
3,1,2,7,2,2,2,1,3,-1,2,2,-3,5,2,4,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,26,1,1,3,2,4,-1,2,2,-3,4,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
2,1,1,21,3,1,1,4,1,-1,2,2,-3,5,1,4,4,1,1,1.63783236547009,-0.452252672667008,-0.658395278889745,0.175728137971113
5,1,1,21,1,0,3,4,3,-1,2,2,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
5,1,1,25,1,0,3,3,3,-1,2,2,-3,3,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,2,22,1,0,7,99,3,-1,2,2,-3,3,3,3,3,1,2,0.587342124528122,-0.452252672667008,1.21758519868391,0.450891550181674
4,1,1,28,1,2,6,5,3,-1,2,2,-3,4,3,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,28,1,4,6,5,4,-1,2,2,-3,5,2,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,27,1,1,6,6,4,-1,2,2,-3,3,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,2,12,1,0,2,3,3,-1,1,1,-3,3,2,2,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
5,1,1,11,1,2,5,5,4,-1,1,1,-3,3,2,2,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
3,1,1,15,1,0,7,7,4,-1,2,2,-3,5,2,3,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,21,1,2,3,4,4,-1,1,1,-3,2,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
3,1,1,24,3,4,2,3,4,-1,2,2,-3,3,2,2,3,1,1,0.587342124528122,-0.452252672667008,-0.658395278889745,-0.17443527567621
2,1,2,12,1,4,1,2,4,-1,2,2,-3,3,1,2,4,1,2,1.63783236547009,-0.452252672667008,1.21758519868391,0.801054963828997
NA,1,1,14,1,2,3,99,3,-1,2,2,-3,4,3,2,NA,1,1,NA,-0.452252672667008,-0.658395278889745,-0.555323975778376
4,1,2,25,1,0,1,1,1,-1,2,2,-3,2,2,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
4,1,1,23,1,0,7,6,4,-1,2,2,-3,5,2,2,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
5,1,1,26,1,0,6,6,4,-1,1,1,-3,5,2,3,1,1,1,-1.51363835735582,-0.452252672667008,-0.658395278889745,-0.874762102970857
4,1,1,-9,1,0,7,99,4,-1,2,2,-3,5,1,3,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,1,25,-9,0,5,6,4,-1,-9,1,-3,3,3,4,2,1,1,-0.463148116413848,-0.452252672667008,-0.658395278889745,-0.524598689323534
4,1,2,18,1,0,2,99,-2,-1,2,2,-3,4,3,4,2,1,2,-0.463148116413848,-0.452252672667008,1.21758519868391,0.100728136534351
